sample_id,treatment,gene,mean_ct,ref_ct_UBQ10,dCt,n_tech_reps
20,Ground,CBP60g,27.258,20.825,6.433,4
21,Ground,CBP60g,26.105,19.633,6.471,4
5,Ground,CBP60g,29.133,19.481,9.652,4
6,Ground,CBP60g,27.56,19.685,7.874,4
20,Ground,MPK3,25.151,20.825,4.326,4
21,Ground,MPK3,24.098,19.633,4.465,4
5,Ground,MPK3,25.335,19.481,5.854,4
6,Ground,MPK3,24.278,19.685,4.593,4
20,Ground,TCH3,24.327,20.825,3.502,4
21,Ground,TCH3,23.133,19.633,3.5,4
5,Ground,TCH3,27.305,19.481,7.824,4
6,Ground,TCH3,23.349,19.685,3.663,4
22,Launch site,CBP60g,28.325,19.041,9.284,4
23,Launch site,CBP60g,29.567,19.931,9.636,4
24,Launch site,CBP60g,23.546,19.105,4.441,4
25,Launch site,CBP60g,27.021,17.707,9.315,4
22,Launch site,MPK3,25.241,19.041,6.2,4
23,Launch site,MPK3,27.759,19.931,7.828,4
24,Launch site,MPK3,22.81,19.105,3.705,4
25,Launch site,MPK3,23.429,17.707,5.722,4
22,Launch site,TCH3,24.019,19.041,4.977,4
23,Launch site,TCH3,25.339,19.931,5.408,4
24,Launch site,TCH3,23.218,19.105,4.114,4
25,Launch site,TCH3,22.398,17.707,4.692,4
13,Flight,CBP60g,29.785,24.047,5.738,4
15,Flight,CBP60g,29.758,23.692,6.066,4
17,Flight,CBP60g,29.595,22.38,7.215,4
18,Flight,CBP60g,26.484,17.773,8.711,4
13,Flight,MPK3,32.9,24.047,8.853,4
15,Flight,MPK3,30.586,23.692,6.894,4
17,Flight,MPK3,26.056,22.38,3.676,3
18,Flight,MPK3,23.866,17.773,6.093,3
13,Flight,TCH3,32.724,24.047,8.677,4
15,Flight,TCH3,28.232,23.692,4.54,4
17,Flight,TCH3,26.425,22.38,4.045,4
18,Flight,TCH3,22.293,17.773,4.52,4
