gene,treatment,n_bio_reps,mean_dCt,ddCt,fold_change,fold_lo,fold_hi,log2_fold
MPK3,Ground,4,4.809,0.0,1.0,0.614,1.63,-0.0
MPK3,Launch site,4,5.864,1.054,0.482,0.148,1.563,-1.054
MPK3,Flight,4,6.379,1.57,0.337,0.076,1.488,-1.57
TCH3,Ground,4,4.622,0.0,1.0,0.228,4.395,-0.0
TCH3,Launch site,4,4.798,0.175,0.885,0.608,1.29,-0.175
TCH3,Flight,4,5.445,0.823,0.565,0.126,2.538,-0.823
CBP60g,Ground,4,7.607,0.0,1.0,0.349,2.866,-0.0
CBP60g,Launch site,4,8.169,0.562,0.678,0.121,3.808,-0.562
CBP60g,Flight,4,6.933,-0.675,1.596,0.629,4.053,0.675
